indicator,ct,2020/2/25,2020/2/26,2020/2/27,2020/2/28,2020/2/29,2020/3/1,2020/3/2,2020/3/3,2020/3/4,2020/3/5,2020/3/6,2020/3/7,2020/3/8,2020/3/9,2020/3/10,2020/3/11,2020/3/12,2020/3/13,2020/3/14,2020/3/15
Afghanistan,阿富汗,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,7,7,7,11,16
Albania,阿尔巴尼亚,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12,23,33,38,42
Algeria,阿尔及利亚,1,1,1,1,1,1,3,5,12,12,17,17,19,20,20,20,24,26,37,48
Andorra,安道尔,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antigua and Barbuda,安提瓜和巴布达,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Argentina,阿根廷,0,0,0,0,0,0,0,1,1,1,2,8,12,12,17,19,19,31,34,45
Armenia,亚美尼亚,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,8,18,26
Aruba,阿鲁巴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Australia,澳大利亚,22,22,23,23,25,27,30,39,52,55,60,63,76,91,107,128,128,200,250,297
Austria,奥地利,2,2,3,3,9,14,18,21,29,41,55,79,104,131,182,246,302,504,655,860
Azerbaijan,阿塞拜疆,0,0,0,0,0,3,3,3,3,6,6,9,9,9,11,11,11,15,15,23
Bahrain,巴林,23,33,33,36,41,47,49,49,52,55,60,85,85,95,110,195,195,189,210,214
Bangladesh,孟加拉国,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,5
Belarus,白俄罗斯,0,0,0,1,1,1,1,1,6,6,6,6,6,6,9,9,12,27,27,27
Belgium,比利时,1,1,1,1,1,2,8,13,23,50,109,169,200,239,267,314,314,559,689,886
Bhutan,不丹,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Bolivia,玻利维亚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,10
Bosnia and Herzegovina,波斯尼亚和黑塞哥维那,0,0,0,0,0,0,0,0,0,2,2,3,3,3,5,7,11,13,18,24
Brazil,巴西,0,1,1,1,2,2,2,2,4,4,13,13,20,25,31,38,52,151,151,162
Brunei,文莱,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,11,37,40,50
Bulgaria,保加利亚,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,7,7,23,41,51
Burkina Faso,布基纳法索,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3
Cambodia,柬埔寨,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,5,7,7
Cameroon,喀麦隆,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2
Canada,加拿大,11,11,13,14,20,24,27,30,33,37,49,54,64,77,79,108,117,193,198,252
Cayman Islands,开曼群岛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Central African Republic,中非共和国,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chile,智利,0,0,0,0,0,0,0,1,1,4,4,4,8,8,13,23,23,43,61,74
Colombia,哥伦比亚,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,9,9,13,22,34
Congo (Brazzaville),刚果（布拉柴维尔）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Congo (Kinshasa),刚果（金沙萨）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2
Costa Rica,哥斯达黎加,0,0,0,0,0,0,0,0,0,0,1,1,5,9,9,13,22,23,26,27
Cote d'Ivoire,象牙海岸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Croatia,克罗地亚,1,3,3,5,6,7,7,9,10,10,11,12,12,12,14,19,19,32,38,49
Cruise Ship,游轮,691,705,705,705,705,705,705,706,706,706,696,696,696,696,696,696,696,696,696,696
Cuba,古巴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4
Curacao,土耳其,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Cyprus,塞浦路斯,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,14,26,26
Czechia,捷克的,0,0,0,0,0,3,3,5,8,12,18,19,31,31,41,91,94,141,189,253
Denmark,丹麦,0,0,1,1,3,4,4,6,11,11,24,24,37,92,264,444,617,804,836,875
Dominican Republic,多米尼加共和国,0,0,0,0,0,1,1,1,1,1,2,2,5,5,5,5,5,5,11,11
Ecuador,厄瓜多尔,0,0,0,0,0,6,6,7,10,13,13,13,14,15,15,17,17,17,28,28
Egypt,埃及,1,1,1,1,1,2,2,2,2,3,15,15,49,55,59,60,67,80,109,110
Equatorial Guinea,赤道几内亚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Estonia,爱沙尼亚,0,0,1,1,1,1,1,2,2,3,10,10,10,10,12,16,16,79,115,171
Eswatini,埃斯瓦蒂尼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ethiopia,埃塞俄比亚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Finland,芬兰,1,2,2,2,3,6,6,6,6,12,15,15,23,30,40,59,59,155,225,244
France,法国,14,18,38,57,100,130,191,204,288,380,656,957,1134,1217,1792,2289,2289,3672,4480,4513
Gabon,加蓬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Georgia,格鲁吉亚,0,1,1,1,1,3,3,3,3,4,4,4,13,15,15,24,24,25,30,33
Germany,德国,17,27,46,48,79,130,159,196,262,482,670,799,1040,1176,1457,1908,2078,3675,4585,5795
Ghana,加纳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Greece,希腊,0,1,3,4,4,7,7,7,9,31,45,46,73,73,89,99,99,190,228,331
Guadeloupe,瓜德罗普,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
Guatemala,危地马拉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Guernsey,根西岛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Guinea,几内亚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Guyana,圭亚那,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4
Holy See,罗马教廷,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Honduras,洪都拉斯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3
Hungary,匈牙利,0,0,0,0,0,0,0,0,2,2,2,4,7,9,9,13,13,19,30,32
Iceland,冰岛,0,0,0,1,1,3,6,11,26,34,43,50,50,58,69,85,103,134,156,171
India,印度,3,3,3,3,3,3,5,5,28,30,31,34,39,43,56,62,73,82,102,113
Indonesia,印度尼西亚,0,0,0,0,0,0,2,2,2,2,4,4,6,19,27,34,34,69,96,117
Iran,伊朗,95,139,245,388,593,978,1501,2336,2922,3513,4747,5823,6566,7161,8042,9000,10075,11364,12729,13938
Iraq,伊拉克,1,5,7,7,13,19,26,32,35,35,40,54,60,60,71,71,71,101,110,116
Ireland,爱尔兰,0,0,0,0,1,1,1,2,6,6,18,18,19,21,34,43,43,90,129,129
Israel,以色列,1,2,3,4,7,10,10,12,15,20,37,43,61,61,83,109,131,161,193,251
Italy,意大利,322,453,655,888,1128,1694,2036,2502,3089,3858,4636,5883,7375,9172,10149,12462,12462,17660,21157,24747
Jamaica,牙买加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,8,10
Japan,日本,170,189,214,228,241,256,274,293,331,360,420,461,502,511,581,639,639,701,773,839
Jersey,泽西岛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Jordan,乔丹,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,8
Kazakhstan,哈萨克斯坦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9
Kenya,肯尼亚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
"Korea, South",韩国,977,1261,1766,2337,3150,3736,4335,5186,5621,6088,6593,7041,7314,7478,7513,7755,7869,7979,8086,8162
Kosovo,科索沃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kuwait,科威特,11,26,43,45,45,45,56,56,56,58,58,61,64,64,69,72,80,80,104,112
Latvia,拉脱维亚,0,0,0,0,0,0,1,1,1,1,1,1,2,6,8,10,10,17,26,30
Lebanon,黎巴嫩,1,2,2,2,4,10,13,13,13,16,22,22,32,32,41,61,61,77,93,110
Liechtenstein,列支敦士登,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,4
Lithuania,立陶宛,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,8,12
Luxembourg,卢森堡,0,0,0,0,1,1,1,1,1,1,2,2,3,3,5,7,19,34,51,59
Malaysia,马来西亚,22,22,23,23,25,29,29,36,50,50,83,93,99,117,129,149,149,197,238,428
Maldives,马尔代夫,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,8,8,9,10,13
Malta,马耳他,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,6,6,12,18,21
Martinique,马提尼克,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,9,9
Mauritania,毛里塔尼亚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mexico,墨西哥,0,0,0,1,4,5,5,5,5,5,6,6,7,7,7,8,12,12,26,41
Moldova,摩尔多瓦,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,6,12,23
Monaco,慕尼黑,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
Mongolia,蒙古,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Morocco,摩洛哥,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,5,6,7,17,28
Namibia,纳米比亚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Nepal,尼泊尔,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Netherlands,荷兰,0,0,1,1,6,10,18,24,38,82,128,188,265,321,382,503,503,804,959,1135
New Zealand,新西兰,0,0,0,1,1,1,1,1,3,3,4,5,5,5,5,5,5,5,6,8
Nigeria,尼日利亚,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
North Macedonia,北马其顿,0,1,1,1,1,1,1,1,1,1,3,3,3,3,7,7,7,14,14,14
Norway,挪威,0,1,1,6,15,19,25,32,56,87,108,147,176,205,400,598,702,996,1090,1221
occupied Palestinian territory,被占领巴勒斯坦领土,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,阿曼,2,4,4,4,6,6,6,12,15,16,16,16,16,16,18,18,18,19,19,22
Pakistan,巴基斯坦,0,2,2,2,4,4,4,5,5,5,6,6,6,6,16,19,20,28,31,53
Panama,巴拿马,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,11,27,36,43
Paraguay,巴拉圭,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,6,6
